Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
6130fdb47d5249bbeb7319cd,6391d970dd4111529e74ed56,6130fdb47d5249fa467319cc,6391d975dd4111862e74f1bf,ophelie-2,Ophélie,Physical,"Robe courte de forme droite, bustier en asymétrie, travail de plissés sur la taille, matière satinée, couleur vieux rose.",Robes Courtes,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6391d93550d18a666cbf94b1_JP130%20Dusty%20Rose.jpg,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6391d945cebd110e0d89fc5c_JP130%20Dusty%20Rose%202.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6391d9458edd6cef48a48f83_JP130%20Dusty%20Rose%20dos.jpg,"€430,00",,clothing,JP130 Dusty Rose,1,true,2000,,,,,,Taille,38,,,,,Thu Dec 08 2022 12:32:48 GMT+0000 (Coordinated Universal Time),Fri Sep 27 2024 16:37:05 GMT+0000 (Coordinated Universal Time),Fri Sep 27 2024 16:39:44 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,66d08266b092ef58c80a2185,6130fdb47d5249fa467319cc,66d0826ca2a222b06b2b4619,ophelie-3,Ophélie,Physical,"Robe courte de forme droite, bustier en asymétrie, travail de plissés sur la taille, matière satinée, couleur bleu indigo.",Robes Courtes,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d081ec28526020d6c9ac02_JP130%20Indigo%2023-11-21%2C%208%2055%2018%20pm.jpg,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d081694f91081dd8f1710c_JP130%20Indigo%2023-11-21%2C%208%2051%2044%20pm.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d081686f3a073f2a6cf10b_JP130%20Indigo%2023-11-21%2C%208%2052%2043%20pm.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d08166b98502552f1f39fa_JP130%20Indigo%2023-11-21%2C%208%2053%2049%20pm.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d08167c6302b9ed9470181_JP130%20Indigo%2023-11-21%2C%208%2054%2005%20pm.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d08168c6302b9ed9470476_JP130%20Indigo%2023-11-21%2C%208%2054%2052%20pm.jpg,"€430,00",,clothing,JP130 Indigo,1,true,2000,,,,,,Taille,36,,,,,Thu Aug 29 2024 14:15:02 GMT+0000 (Coordinated Universal Time),Thu Aug 29 2024 14:16:41 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,66d085c3d539a11452bd98cb,6130fdb47d5249fa467319cc,66d085c8c4810ba3b0471cf9,ophelie-4,Ophélie,Physical,"Robe courte de forme droite, bustier en asymétrie, travail de plissés sur la taille, matière satinée, couleur rose parme.",Robes Courtes,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d084f67e8495839210457a_JP130%20Frost%202-12-21%2C%205%2005%2059%20pm.jpg,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d084ff06e43561674fcf3a_JP130%20Frost%202-12-21%2C%205%2007%2019%20pm.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d084ff9105314c785965f1_JP130%20Frost%202-12-21%2C%205%2008%2002%20pm.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d085012d75a4b1b097e1d7_JP130%20Frost%202-12-21%2C%205%2008%2021%20pm.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/66d084ffd7460cc64674ea87_JP130%20Frost%202-12-21%2C%205%2009%2051%20pm.jpg,"€430,00",,clothing,JP130 Frost,1,true,2000,,,,,,Taille,38,,,,,Thu Aug 29 2024 14:29:23 GMT+0000 (Coordinated Universal Time),Thu Aug 29 2024 14:29:29 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,6130fdb47d5249acf5731aa7,6130fdb47d5249fa467319cc,6130fdb47d524958b6731ce9,oporto,Oporto,Physical,"Robe cocktail courte, coupe droite, dos nu, petites manches volantées, perles et fleurs en tissu sur les épaules, couleur rose poudrée.
Ce modèle a tendance à tailler petit, ne pas hésiter à prendre la taille au dessus de votre taille habituelle.",Robes Courtes,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/5ed656244a32ebccc1bc2f51_OPORTO.jpg,https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/60a66487436073e7d6338311_OPORTO%20(1).jpg; https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/60a78ed4dcfc01789da18d91_OPORTO2.jpg,"€295,00",,clothing,Oporto,1,true,2000,,,,,,Taille,44,,,,,Tue Jun 02 2020 13:39:48 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 10:53:02 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,6130fdb47d524964e6731aa8,6130fdb47d5249fa467319cc,6130fdb47d52494242731ceb,orgaz,Orgaz,Physical,"Robe de cocktail bleu marine, coupe droite, avec manches, tulle perlé transparent, manches volantées, nœud broche amovible.
Ce modèle a tendance à tailler petit, ne pas hésiter à prendre la taille au dessus de votre taille habituelle.",Robes Courtes,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/5ed656bd582d556c031da444_ORGAZ.jpg,,"€285,00",,clothing,Orgaz,1,true,2000,,,,,,Taille,44,,,,,Tue Jun 02 2020 13:42:01 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 10:53:25 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,6130fdb47d524964e6731aa8,6130fdb47d5249fa467319cc,6130fdb47d52496f19731cea,orgaz,Orgaz,Physical,"Robe de cocktail bleu marine, coupe droite, avec manches, tulle perlé transparent, manches volantées, nœud broche amovible.
Ce modèle a tendance à tailler petit, ne pas hésiter à prendre la taille au dessus de votre taille habituelle.",Robes Courtes,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/5ed656bd582d556c031da444_ORGAZ.jpg,,"€285,00",,clothing,Orgaz,1,true,2000,,,,,,Taille,48,,,,,Tue Jun 02 2020 13:42:01 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 10:53:25 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,65784d8fe9a56270baa0ea47,6130fdb47d5249fa467319cc,65d709be28ec42fbf59ea265,oria,Oria,Physical,"Pantalon fluide légèrement évasé sur le bas, détails de bandes en tulle sur le bas du pantalon, couleur bleu nuit.",Ensembles Pantalons,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/65784d396be574f8dd13f80c_248011%20midnight.jpg,,"€245,00",,clothing,248011 midnight,1,true,1000,,,,,,Taille,48,,,,,Tue Dec 12 2023 12:09:51 GMT+0000 (Coordinated Universal Time),Sat Aug 24 2024 14:16:56 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,65784d8fe9a56270baa0ea47,6130fdb47d5249fa467319cc,65d709be5b7fcb976e0026c7,oria,Oria,Physical,"Pantalon fluide légèrement évasé sur le bas, détails de bandes en tulle sur le bas du pantalon, couleur bleu nuit.",Ensembles Pantalons,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/65784d396be574f8dd13f80c_248011%20midnight.jpg,,"€245,00",,clothing,248011 midnight,1,true,1000,,,,,,Taille,52,,,,,Tue Dec 12 2023 12:09:51 GMT+0000 (Coordinated Universal Time),Sat Aug 24 2024 14:16:56 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,6627d257863e90e2e2dd7946,6130fdb47d5249fa467319cc,6627d25e12a35acc3ebe2023,oriana,Oriana,Physical,"Robe longue forme fourreau, motif de sequins géométrique sur fond de tulle, détails de perles sur les épaules, couleur noire.",Robes Longues,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6627ce5b7dde6db45a212829_512027%20black.jpg,https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/6627ce63638b5e9d072a0fa8_512027%20black%202.jpg; https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/6627ce636f389f3d51520f33_512027%20black%205.jpg; https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/6627ce636f389f3d51520ec2_512027%20black%206.jpg,"€245,00",,clothing,512027 Black,2,true,2000,,,,,,Taille,L,,,,,Tue Apr 23 2024 15:23:03 GMT+0000 (Coordinated Universal Time),Mon Jan 20 2025 10:48:28 GMT+0000 (Coordinated Universal Time),Mon Jan 20 2025 10:49:51 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,6627d257863e90e2e2dd7946,6130fdb47d5249fa467319cc,6627d25e8cbee688a789fa01,oriana,Oriana,Physical,"Robe longue forme fourreau, motif de sequins géométrique sur fond de tulle, détails de perles sur les épaules, couleur noire.",Robes Longues,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6627ce5b7dde6db45a212829_512027%20black.jpg,https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/6627ce63638b5e9d072a0fa8_512027%20black%202.jpg; https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/6627ce636f389f3d51520f33_512027%20black%205.jpg; https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/6627ce636f389f3d51520ec2_512027%20black%206.jpg,"€245,00",,clothing,512027 Black,1,true,2000,,,,,,Taille,3XL,,,,,Tue Apr 23 2024 15:23:03 GMT+0000 (Coordinated Universal Time),Mon Jan 20 2025 10:48:28 GMT+0000 (Coordinated Universal Time),Mon Jan 20 2025 10:49:51 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,6627d257863e90e2e2dd7946,6130fdb47d5249fa467319cc,6627d25d3fa9a22215785a90,oriana,Oriana,Physical,"Robe longue forme fourreau, motif de sequins géométrique sur fond de tulle, détails de perles sur les épaules, couleur noire.",Robes Longues,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6627ce5b7dde6db45a212829_512027%20black.jpg,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6627ce63638b5e9d072a0fa8_512027%20black%202.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6627ce636f389f3d51520f33_512027%20black%205.jpg; https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/6627ce636f389f3d51520ec2_512027%20black%206.jpg,"€245,00",,clothing,512027 Black,1,true,2000,,,,,,Taille,XL,,,,,Tue Apr 23 2024 15:23:03 GMT+0000 (Coordinated Universal Time),Mon Jan 20 2025 10:48:28 GMT+0000 (Coordinated Universal Time),Mon Jan 20 2025 10:49:51 GMT+0000 (Coordinated Universal Time)
6130fdb47d5249bbeb7319cd,639b616e55e1686758d299cf,6130fdb47d5249fa467319cc,639b617ddc4fb18867d2c68f,oriane,Oriane,Physical,"Robe longue forme fourreau toute en sequins, détails de plumes sur les épaules, décolleté en V devant et dos échancré, jupe fendue, couleur vert profond",Robes Longues,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/639b60968778c964b00fba61_Hm2370%20deep%20green%202.jpg,https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/639b609f55e1682a0bd15bf0_Hm2370%20deep%20green%20.jpg; https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/639b609f6d9b20fe941c9fec_Hm2370%20deep%20green%203.jpg; https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/639b60a055e16843d3d15f3c_Hm2370%20deep%20green%204.jpg,"€245,00",,clothing,HM2370 Deep Green,1,true,2000,,,,,,Taille,XL,,,,,Thu Dec 15 2022 18:03:26 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 11:03:32 GMT+0000 (Coordinated Universal Time),
6130fdb47d5249bbeb7319cd,614dd1651448e80d50b193d3,6130fdb47d5249fa467319cc,614dd1666e1e96ed63284479,ornella,Ornella,Physical,"Robe longue de forme fourreau, décolleté en V devant et dos, jeux de plissés, grande fente devant, tissu satiné, couleur mauve pastel.",Robes Longues,https://cdn.prod.website-files.com/5ea84434771c9d5f51f6594a/614dd0e89411bad3eed4c5ee_Jx3013%20Mocha.jpg,https://uploads-ssl.webflow.com/5ea84434771c9d5f51f6594a/614dd0eeb51089803f94581c_Jx3013%20Mocha%20dos.jpg,"€595,00",,clothing,JX3013 Mocha,1,true,2000,,,,,,Taille,42,,,,,Fri Sep 24 2021 13:23:49 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 13:23:52 GMT+0000 (Coordinated Universal Time),Sat Aug 31 2024 11:42:11 GMT+0000 (Coordinated Universal Time)
